1	0
2	0
3	86
4	86
5	222
6	248
7	232
8	121
9	116
10	94
11	86
12	80
13	128
14	241
15	198
16	214
17	160
18	64
19	49
20	56
21	14
22	214
23	222
24	128
25	116
26	101
27	69
28	216
29	214
30	198
31	94
32	112
33	128
34	189
35	241
36	194
37	222
38	224
39	20
40	56
41	56
42	242
43	254
44	222
45	94
46	104
47	120
48	184
49	241
50	221
51	29
52	12
53	70
54	118
55	118
56	82
57	96
58	248
59	248
60	230
61	198
62	86
63	86
64	94
65	222
66	254
67	120
68	120
69	88
70	92
71	88
72	214
73	242
74	241
75	17
76	81
77	77
78	80
79	128
80	184
81	152
82	150
83	22
84	18
85	50
86	252
87	208
88	200
89	197
90	117
91	85
92	83
93	82
94	126
95	126
96	256
97	256
98	224
99	211
100	21
101	21
102	24
103	60
104	122
105	118
106	70
107	198
108	224
109	224
110	94
111	94
112	118
113	118
114	246
115	248
116	216
117	216
118	86
119	70
120	70
121	9
122	29
123	31
124	19
125	244
126	242
127	242
128	194
129	214
130	214
131	86
132	88
133	72
134	76
135	24
136	21
137	21
138	37
139	212
140	216
141	216
142	86
143	126
144	126
145	126
146	222
147	224
148	216
149	216
150	24
151	16
152	25
153	61
154	117
155	117
156	126
157	254
158	254
159	224
160	216
161	216
162	88
163	88
164	126
165	190
166	190
167	126
168	94
169	86
170	214
171	200
172	200
173	196
174	212
175	210
176	66
177	110
178	109
179	45
180	21
181	24
182	216
183	216
184	88
185	78
186	78
187	222
188	214
189	214
190	216
191	212
192	81
193	89
194	126
195	190
196	182
197	184
198	24
199	24
200	52
201	50
202	50
203	29
204	93
205	94
206	80
207	96
208	88
209	200
210	232
211	230
212	213
213	213
214	193
215	82
216	90
217	118
218	55
219	253
220	254
221	256
222	224
223	224
224	85
225	21
226	52
227	116
228	249
229	250
230	214
231	214
232	96
233	128
234	128
235	128
236	53
237	49
238	50
239	210
240	212
241	216
242	200
243	70
244	70
245	126
246	253
247	253
248	254
249	244
250	216
251	216
252	32
253	64
254	128
255	128
256	192
257	256
258	256
259	236
260	225
261	225
262	225
263	206
264	254
265	253
266	64
267	64
268	208
269	196
270	4
271	9
272	9
273	185
274	190
275	190
276	205
277	253
278	64
279	244
280	244
281	4
282	196
283	237
284	237
285	253
286	16
287	253
288	61
289	245
290	232
291	196
292	4
293	16
294	16
295	64
296	80
297	116
298	116
299	208
300	208
301	256
302	16
303	256
304	52
305	244
306	208
307	208
308	16
309	64
310	127
311	255
312	51
313	243
314	207
315	221
316	13
317	64
318	64
319	241
320	201
321	5
322	49
323	49
324	49
325	49
326	49
327	49
328	49
329	49
330	49
